Date,Invoice ID,Product Name,Category,Quantity,Unit Price,Total Sales,Payment Method,Branch,Customer Type
2024-10-29 22:00:00,INV1000,Notebook,Books,1,-88,-88,UPI,City Center,New
2024-02-05 20:00:00,INV1001,Headphones,Electronics,1,1646,1646,Cash,Riverside,New
2024-08-12 14:00:00,INV1002,Laptop,Electronics,1,59911,59911,Card,City Center,New
2024-08-04 07:00:00,INV1003,Pen Set,Books,5,64,320,Card,Riverside,Returning
2024-08-26 22:00:00,INV1004,Laptop,Electronics,2,60157,120314,Online Gateway,Riverside,Returning
2024-09-18 01:00:00,INV1005,Headphones,Electronics,2,1690,3380,UPI,City Center,New
2024-01-20 10:00:00,INV1006,Washing Machine,Home Appliances,1,14983,14983,UPI,Riverside,New
2024-07-03 10:00:00,INV1007,Pen Set,Books,4,124,496,Cash,Riverside,New
2024-08-20 10:00:00,INV1008,Mixer Grinder,Home Appliances,3,3621,10863,UPI,City Center,New
2024-12-12 18:00:00,INV1009,Laptop,Electronics,2,60195,120390,UPI,City Center,New
2024-03-11 05:00:00,INV1010,Smartphone,Electronics,4,19942,79768,Online Gateway,Riverside,New
2024-02-02 01:00:00,INV1011,Jeans,Fashion,3,1707,5121,UPI,City Center,New
2024-10-16 13:00:00,INV1012,Mixer Grinder,Home Appliances,2,3383,6766,Online Gateway,Riverside,Returning
2024-04-11 09:00:00,INV1013,Notebook,Books,5,12,60,UPI,City Center,New
2024-08-09 07:00:00,INV1014,Laptop,Electronics,3,60005,180015,UPI,City Center,New
2024-07-29 11:00:00,INV1015,Novel,Books,3,408,1224,Online Gateway,Riverside,Returning
2024-09-24 12:00:00,INV1016,Headphones,Electronics,3,1371,4113,Card,Riverside,Returning
2024-02-19 08:00:00,INV1017,Novel,Books,4,485,1940,Card,City Center,Returning
2024-07-08 19:00:00,INV1018,Smartphone,Electronics,1,19856,19856,Card,City Center,Returning
2024-05-21 01:00:00,INV1019,Novel,Books,1,497,497,Online Gateway,Riverside,Returning
2024-09-23 12:00:00,INV1020,Mixer Grinder,Home Appliances,1,3648,3648,Cash,Riverside,Returning
2024-12-27 02:00:00,INV1021,Smartphone,Electronics,3,20022,60066,Card,Riverside,New
2024-04-16 14:00:00,INV1022,Pen Set,Books,3,106,318,Card,City Center,Returning
2024-11-23 01:00:00,INV1023,Notebook,Books,5,211,1055,Card,City Center,Returning
2024-03-26 07:00:00,INV1024,Headphones,Electronics,5,1698,8490,Cash,Riverside,Returning
2024-04-24 11:00:00,INV1025,Laptop,Electronics,1,59985,59985,UPI,City Center,New
2024-01-08 21:00:00,INV1026,Shoes,Fashion,5,2340,11700,Cash,Riverside,New
2024-04-23 22:00:00,INV1027,Mixer Grinder,Home Appliances,2,3365,6730,Online Gateway,City Center,Returning
2024-05-05 05:00:00,INV1028,Mixer Grinder,Home Appliances,5,3516,17580,Card,City Center,Returning
2024-07-13 02:00:00,INV1029,Washing Machine,Home Appliances,3,15024,45072,Online Gateway,City Center,New
2024-03-20 03:00:00,INV1030,Shoes,Fashion,1,2473,2473,Cash,City Center,New
2024-11-18 06:00:00,INV1031,Laptop,Electronics,1,60162,60162,Cash,City Center,New
2024-02-22 19:00:00,INV1032,Laptop,Electronics,3,59836,179508,Card,Riverside,Returning
2024-03-04 16:00:00,INV1033,Shoes,Fashion,5,2367,11835,Online Gateway,City Center,Returning
2024-05-28 04:00:00,INV1034,Washing Machine,Home Appliances,2,14848,29696,Cash,Riverside,Returning
2024-06-11 02:00:00,INV1035,Washing Machine,Home Appliances,4,15039,60156,Cash,City Center,New
2024-08-12 17:00:00,INV1036,Washing Machine,Home Appliances,3,14855,44565,Card,City Center,New
2024-12-17 09:00:00,INV1037,Mixer Grinder,Home Appliances,4,3371,13484,Online Gateway,City Center,Returning
2024-11-09 01:00:00,INV1038,Microwave,Home Appliances,2,6838,13676,Online Gateway,City Center,New
2024-04-18 20:00:00,INV1039,Notebook,Books,5,-93,-465,Cash,City Center,New
2024-10-20 09:00:00,INV1040,Washing Machine,Home Appliances,4,15046,60184,Card,Riverside,New
2024-09-16 19:00:00,INV1041,Headphones,Electronics,4,1301,5204,Online Gateway,Riverside,Returning
2024-08-16 14:00:00,INV1042,T-shirt,Fashion,4,956,3824,Online Gateway,City Center,New
2024-10-22 19:00:00,INV1043,T-shirt,Fashion,2,629,1258,Cash,Riverside,New
2024-02-02 07:00:00,INV1044,Laptop,Electronics,5,60044,300220,Card,City Center,New
2024-12-08 18:00:00,INV1045,Headphones,Electronics,1,1604,1604,Cash,City Center,Returning
2024-05-11 08:00:00,INV1046,Smartphone,Electronics,5,19926,99630,Cash,City Center,Returning
2024-03-07 01:00:00,INV1047,Notebook,Books,5,189,945,UPI,Riverside,New
2024-06-13 07:00:00,INV1048,Notebook,Books,3,22,66,UPI,Riverside,New
2024-11-10 19:00:00,INV1049,Notebook,Books,3,134,402,UPI,City Center,New
2024-05-08 01:00:00,INV1050,Microwave,Home Appliances,5,7088,35440,Cash,City Center,New
2024-02-12 13:00:00,INV1051,Mixer Grinder,Home Appliances,3,3367,10101,UPI,City Center,New
2024-06-09 03:00:00,INV1052,Jeans,Fashion,3,1680,5040,Online Gateway,Riverside,New
2024-11-28 21:00:00,INV1053,Notebook,Books,5,53,265,Cash,City Center,Returning
2024-10-13 09:00:00,INV1054,Smartphone,Electronics,1,20180,20180,Card,Riverside,Returning
2024-08-24 11:00:00,INV1055,Novel,Books,2,667,1334,UPI,City Center,Returning
2024-01-07 17:00:00,INV1056,Mixer Grinder,Home Appliances,4,3428,13712,Cash,City Center,Returning
2024-06-28 01:00:00,INV1057,T-shirt,Fashion,1,601,601,UPI,City Center,Returning
2024-02-11 11:00:00,INV1058,Headphones,Electronics,4,1582,6328,Online Gateway,City Center,New
2024-11-13 21:00:00,INV1059,Smartphone,Electronics,2,20079,40158,Cash,Riverside,New
2024-02-12 08:00:00,INV1060,Washing Machine,Home Appliances,2,14821,29642,UPI,Riverside,New
2024-11-23 21:00:00,INV1061,Jeans,Fashion,2,1949,3898,Card,City Center,Returning
2024-09-25 07:00:00,INV1062,Mixer Grinder,Home Appliances,4,3617,14468,Card,City Center,New
2024-11-24 20:00:00,INV1063,Headphones,Electronics,4,1312,5248,Card,Riverside,Returning
2024-10-12 23:00:00,INV1064,Notebook,Books,2,36,72,Card,City Center,Returning
2024-11-25 20:00:00,INV1065,Laptop,Electronics,4,59913,239652,Card,Riverside,Returning
2024-12-21 09:00:00,INV1066,T-shirt,Fashion,2,714,1428,Cash,City Center,Returning
2024-02-06 14:00:00,INV1067,Jeans,Fashion,3,1635,4905,UPI,Riverside,Returning
2024-07-22 15:00:00,INV1068,Notebook,Books,5,69,345,Cash,City Center,Returning
2024-07-21 11:00:00,INV1069,Headphones,Electronics,5,1435,7175,Cash,City Center,Returning
2024-09-20 19:00:00,INV1070,Jeans,Fashion,3,1823,5469,Cash,Riverside,New
2024-12-23 03:00:00,INV1071,T-shirt,Fashion,1,962,962,Online Gateway,City Center,New
